date,week,month,month_name,weekday,is_weekend,price_source,buy_mean_EUR_kWh,buy_max_EUR_kWh,v2g_max_EUR_kWh,A_cost_EUR,A_charge_EUR,C_cost_EUR,C_v2g_rev_EUR,C_charge_EUR,C_deg_EUR,C_v2g_kwh,C_saving_EUR,D_cost_EUR,D_v2g_rev_EUR,D_v2g_kwh,D_saving_EUR
2024-01-01,1,1,Jan,0,0,ML FORECAST 2024-01-01,0.033911926054772085,0.06391310814830263,0.19591310814830265,5.914360006826744,2.6469687024789157,3.153743575207364,6.426489673209159,4.065282132564308,5.514951115852215,34.34312941322419,2.76061643161938,3.490397835234198,5.88057557519876,31.56409020253615,2.423962171592546
2024-01-02,1,1,Jan,1,0,ML FORECAST 2024-01-02,0.059321501113186646,0.08354084302609069,0.21490671987797363,8.482670304165389,5.215278999817561,5.416412977652213,7.284325851518995,7.185787713318993,5.514951115852215,34.34312941322418,3.066257326513176,5.631791110781552,6.686353911125651,31.56409020253615,2.850879193383837
2024-01-03,1,1,Jan,2,0,ML FORECAST 2024-01-03,0.0652468613069432,0.08973694649641514,0.21489715307691687,9.34604348373501,6.078652179387181,6.3521017573063805,7.284122525130158,8.121273166584324,5.514951115852215,34.34312941322418,2.9939417264286288,6.38339390712275,6.854822617746125,32.43759688254445,2.962649576612259
2024-01-04,1,1,Jan,3,0,ML FORECAST 2024-01-04,0.06135188092415384,0.08357504011203376,0.2146816356223602,9.019117205165134,5.751725900817306,5.572300548593127,7.284244839315644,7.341594272056556,5.514951115852215,34.34312941322418,3.4468166565720075,5.899951167840086,6.6023658569388015,31.163669896015882,3.119166037325048
2024-01-05,1,1,Jan,4,0,ML FORECAST 2024-01-05,0.05425663171077474,0.08062025976471815,0.20949916571887828,8.36171676425963,5.094325459911802,4.67632740995465,6.917242628574382,6.078618922676817,5.514951115852215,34.34312941322418,3.685389354304979,5.056859641944072,6.299521233135778,31.564090202536146,3.304857122315557
2024-01-06,1,1,Jan,5,1,ML FORECAST 2024-01-06,0.025055706255851407,0.04003806432337107,0.17203806432337107,5.864085935109578,2.596694630761751,2.096739961766408,5.761530725458885,2.343319571373078,5.514951115852215,34.34312941322419,3.7673459733431702,2.540004846573236,5.202325363808928,31.011018749150242,3.3240810885363423
2024-01-07,1,1,Jan,6,1,ML FORECAST 2024-01-07,0.017269136544565588,0.05095589819231808,0.18295589819231808,4.810082965485745,1.5426916611379176,2.1102733608083355,5.783893348452663,2.3792155934087833,5.514951115852215,34.34312941322419,2.6998096046774096,2.4347992734554262,5.256740950129738,31.163669896015882,2.375283692030319
2024-01-08,2,1,Jan,0,0,ML FORECAST 2024-01-08,0.041227391294310134,0.07557572527476031,0.20757572527476031,6.914471945867186,3.6470806415193584,3.8463972460206346,6.736869893361842,5.068316023530262,5.514951115852215,34.34312941322419,3.0680746998465516,4.238461353630496,6.177894211725497,31.56409020253615,2.6760105922366906
2024-01-09,2,1,Jan,1,0,ML FORECAST 2024-01-09,0.06147025288113694,0.08846006096146634,0.22046006096146636,9.075228932883881,5.807837628536054,5.410263729798855,7.437700249808016,7.333012863754656,5.514951115852215,34.34312941322419,3.6649652030850266,4.266957995622584,7.8989788295580565,36.66366989601589,4.808270937261297
2024-01-10,2,1,Jan,2,0,ML FORECAST 2024-01-10,0.06359058100596549,0.08845713354899098,0.220457133548991,9.305228000279737,6.03783669593191,5.793148530006931,7.4321453344721995,7.710342748626916,5.514951115852215,34.34312941322418,3.5120794702728055,5.596072710701393,7.4036124733003925,34.34312941322418,3.7091552895783435
